Name,Organisation,Category,Location,Email,Alternative Contact,Status,Notes
Borgo Mulino a Vento,D'Alba Sas di Carluccio Maria,Luxury Hospitality,Uggiano La Chiesa (LE),info@mulinoavento.it,https://www.mulinoavento.it,Not Contacted,4-star country resort near Otranto
Furnirussi Tenuta,Furnirussi Tenuta,Luxury Hospitality,Serrano di Carpignano Salentino (LE),info@furnirussi.com,https://www.furnirussi.com/en,Not Contacted,5-star design resort in an organic fig orchard; email corroborated by multiple sources direct fetch blocked by certificate error medium-high confidence
Torre Assunta Hotel,Hotel Torre Assunta,Luxury Hospitality,Gallipoli (LE),info@hoteltorreassunta.com,https://www.hoteltorreassunta.com,Not Contacted,5-star hotel near Gallipoli distinct from the similarly named Masseria Torre Assunta
Tenuta Negroamaro,Hotel Tenuta Negroamaro,Luxury Hospitality,Sannicola (LE),reservations@tenutanegroamaro.com,https://www.tenutanegroamaro.com/contact/,Not Contacted,Boutique estate hotel around 4 kilometres from Gallipoli
Masseria Li Foggi,Masseria Li Foggi Resort,Luxury Hospitality,Gallipoli (LE),booking@masserialifoggiresort.it,https://www.masserialifoggiresort.it/en/contacts-vacances-gallipoli/,Not Contacted,16th-century masseria resort managed under the AUS and MESON brand
Vivosa Apulia Resort,Vivosa Apulia Resort,Luxury Hospitality,Marina di Ugento (LE),info@vivosaresort.com,https://www.vivosaresort.com,Not Contacted,Large eco-resort on the Ionian coast
Castello di Ugento,Castello di Ugento,Luxury Hospitality,Ugento (LE),reservations@castellodiugento.com,https://www.castellodiugento.com,Not Contacted,5-star historic-monument hotel ancestral seat of the d'Amore family for four centuries
Masseria Li Sauli,Antica Masseria Li Sauli,Luxury Hospitality,Gallipoli (LE),booking@lisauli.it,https://lisauli.it,Not Contacted,19th-century farmhouse resort near Gallipoli and Baia Verde
Caroli Hotels,Caroli Group,Luxury Hospitality,Gallipoli / Santa Maria di Leuca (LE),booking@carolihotels.it,https://www.carolihotels.com/hotels/,Not Contacted,Salento's oldest hotel network est. 1966 founded by Attilio Caroli; group contact given flagship property Ecoresort Le Sirenè Gallipoli
CDSHotels - Corte di Nettuno,CDSHotels S.p.A.,Luxury Hospitality,Otranto,info@cdshotels.it,https://cdshotels.it/en/corte-di-nettuno-en/,Not Contacted,4-star boutique maritime-themed hotel in historic Otranto part of the CDSHotels portfolio distinct from three already-listed CDS properties
